feature,VIF
nb_routes_method,inf
has_route_attr,inf
is_ajax_only,inf
nb_response_types,inf
nb_voter_checks,inf
has_json,inf
has_file_download,inf
has_render,inf
has_redirect,inf
nb_method_grants,inf
nb_class_grants,inf
file_loc,8.23
nb_methods_in_class,7.65
method_loc,2.73
git_nb_authors,2.02
cyclomatic_complexity,1.97
is_invoke,1.97
git_days_since_change,1.94
has_form,1.56
nb_constructor_deps,1.52
nb_params,1.49
